786436, 0.580472,0.7525554,0.7974458,0.88618076,0.90005827,0.90168107,0.9284291,0.9388549,0.9417609,0.9419768
9, 0.9456811,1.037836,1.0834354,1.1228373,1.165337,1.1812147,1.191244,1.1926057,1.2236736,1.2411683
786450, 0.53585744,0.7729198,0.7833637,0.84627116,0.85199475,0.8583151,0.8625238,0.8662492,0.87925625,0.8892801
524308, 0.80513656,0.8444052,0.8712894,0.874535,0.92419225,0.93527293,0.9421121,0.94800836,0.96292317,0.96482015
33, 0.9490211,0.9513265,0.9537772,0.95657355,0.9681982,0.9733262,0.977599,0.97838306,0.9898196,0.9980292
524324, 0.7624653,0.7984413,0.83878726,0.8482138,0.90518045,0.90725386,0.91329294,0.9285616,0.9415549,0.94157404
786472, 0.63892967,0.7597939,0.7903321,0.7936245,0.80760676,0.81798494,0.82311404,0.8242651,0.8303697,0.8456539
1048617, 0.6180279,0.7769808,0.8862103,0.91455674,0.9401517,0.94359773,0.95008075,0.95726585,0.96327853,0.99541515
524330, 0.6792452,0.7420768,0.7675475,0.83829916,0.8574395,0.867143,0.8809514,0.886353,0.88738716,0.89542186
1048619, 0.75931954,0.78641355,0.84662384,0.8689935,0.86978376,0.9068794,0.94074315,0.9562268,0.9594623,0.97332364
